"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"296","GJA1","2",1.71563102063896,1.65084116435349,305431062.5,0.922725570195169,0,0,87.454677302393,4.18603876085254
"297","TRPM3","2",2.49309062898687,2.16681096156582,305404867.5,0.922646433528082,0,0,92.1138506163887,19.1571264310353
"298","HIF3A","2",1.83200098349977,1.62957011721028,305044407.5,0.921557462235149,0,0,93.0384336475707,12.6097752003866
"299","STON2","2",1.60803327374061,1.54448903417129,304359644.5,0.919488752116237,0,0,86.8926758520667,4.23269842856905
"300","PRDM16","2",1.52460084175497,1.4800335459125,304061342,0.918587562361174,0,0,85.9137055837564,3.10286790314786
"301","CACHD1","2",1.74005800543943,1.57251070024405,303568633,0.917099058902344,0,0,89.0137781000725,14.0095652318819
"302","PAMR1","2",1.62794984287077,1.5581943163179,302905460,0.915095573469152,0,0,85.9499637418419,5.60415937609359
"303","AHCYL1","2",1.95538765001928,1.58687110058925,302776037,0.914704578818858,0,0,92.8208846990573,29.7272075855288
"304","NHSL1","2",1.81155920905216,1.64579432957068,302722539.5,0.914542959660716,0,0,89.9746192893401,10.1351463947075
"305","RGS20","2",1.60226701697691,1.53126459082052,302504841,0.913885279427085,0,0,85.7324147933285,5.64415337699345
"306","LRIG1","2",2.00010644389722,1.68440251129695,301230279.5,0.910034752643038,0,0,91.4249456127629,23.158192937726
"307","AHCYL2","2",2.10892430516323,1.58064281502456,300569624,0.908038872728433,0,0,94.7425670775925,37.8176606842307
"308","CACNB2","2",2.58448726808403,1.78395662670022,296828435,0.896736516232742,0,0,95.8303118201595,41.7404056058258
"309","TRPS1","2",2.31342946745806,1.59576353208992,295420106.5,0.892481871313695,0,0,96.5010877447426,43.4584812278158
"310","ASPH","2",1.93563171467071,1.4407251896904,295256472.5,0.891987523179234,0,0,91.7875271936186,37.0161142495292
"311","LRMDA","20",2.59765003643347,2.00783754389888,22297587,0.877766177938129,6.01597349936503e-245,1.08840992550512e-241,95.1282051282051,25.5530820603362
