"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"170","NELL2","2",1.78394996941399,1.25802344279278,43920263.5,0.836196257054174,0,0,90.8710801393728,30.9819135566362
"171","DOCK8","3",2.81551232027067,2.72274423395,45069965,0.957938680144388,0,0,92.8260007927071,6.16688116688117
"172","APBB1IP","3",2.6701111437847,2.58798343582513,44736492,0.950850884858019,0,0,91.4783987316686,5.43758043758044
"173","ARHGAP24","3",3.03554467427779,2.55231846790776,43968136,0.934519877444967,0,0,92.627824019025,27.0323895323895
"174","ST6GAL1","3",2.71297764671439,2.38851046292861,43911021,0.933305927806522,0,0,91.3198573127229,22.5922350922351
"175","TBXAS1","3",2.31893429168096,2.24476290194891,43781474.5,0.930552484283162,0,0,87.5544986127626,5.80759330759331
"176","INPP5D","3",2.19899269547349,2.10264312506902,43470356.5,0.923939832902377,0,0,87.3563218390805,6.37601887601888
"177","SRGAP2","3",2.39659508877399,2.05364523866042,43398267,0.922407608049701,0,0,89.5362663495838,27.7187902187902
"178","CYFIP1","3",2.38081881406753,2.05620545328332,43201884,0.918233589458322,0,0,88.8624653190646,26.5712140712141
"179","FYB1","3",2.03345953439099,1.98776141287216,42836282.5,0.910462919603823,0,0,83.3135156559651,3.35692835692836
"180","SLCO2B1","3",2.1685035919536,2.07118690339135,42617115,0.905804628307601,0,0,83.9873166864843,5.83976833976834
"181","ATP8B4","3",2.03010399844559,1.91066902764821,42529809,0.903948984656476,0,0,83.7098692033294,9.90990990990991
"182","ADAM28","3",1.91070562463682,1.86469844906239,42498648,0.90328667379797,0,0,82.1244550138724,3.06199056199056
"183","DOCK2","3",1.91506926995171,1.85119361095303,42470835.5,0.90269553356652,0,0,82.2433610780816,5.06756756756757
"184","AOAH","3",2.07389160815522,1.88907379863693,42417447,0.90156078874866,0,0,84.70075307174,13.7387387387387
"185","CSF1R","3",1.84382298185393,1.79769839025542,42408883,0.901378765379954,0,0,81.6884661117717,3.47490347490348
"186","ARHGAP15","3",1.91590135348975,1.83741744206176,41952647,0.891681706336879,0,0,80.6579468886247,5.88266838266838
